"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"id"
"SLRE777";"12157";"None";"0";"SLRE777";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SLRE777/327158650971191_1900634400290267";"13207";"12157";"1";"327158650971191_1900634400290267";"data";"data.*";"fetched (200)";"2022-08-01 22:48:16.280662";"Facebook:/<page-id>/posts";"327158650971191";"SkyLine Real Estate";"2022-04-20T05:48:53+0000";"2022-04-25T13:03:32+0000";"--Startup IT Business - Looking for Business Partners--  A Startup IT Business in Colombo is looking for partners to expand its business operation. Currently, an in-house POS and ERP system is being built. A Senior Software Engineer and a Digital Marketing Staff is present along-with few outsourced staff.  The company is looking to either merge with a current IT Business or willing to accommodate a Director into their business. Those interested to know more details can call them on 0777446446";"";"1";"14";"13";"0";"1";"0";"0";"0";"327158650971191_1900634400290267"
"SLRE777/327158650971191_1900634400290267/327158650971191_1900634400290267";"13307";"13207";"2";"327158650971191_1900634400290267";"data";"data.*";"fetched (200)";"2022-08-01 22:50:50.865097";"Facebook:/<post-id>/comments";"";"";"2022-04-25T13:02:00+0000";"";"Would you be interested to partner up with a sms based solutions company for transactional sms through your POS? Contact for more details 0776773273";"";"";"";"";"";"";"";"";"";""
"SLRE777/327158650971191_1900634400290267/327158650971191_1900634400290267";"13399";"13207";"2";"327158650971191_1900634400290267";"empty";"";"fetched (200)";"2022-08-01 22:51:58.642264";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SLRE777/327158650971191_1849433518743689";"13208";"12157";"1";"327158650971191_1849433518743689";"data";"data.*";"fetched (200)";"2022-08-01 22:48:16.280662";"Facebook:/<page-id>/posts";"327158650971191";"SkyLine Real Estate";"2022-02-09T08:16:09+0000";"2022-02-09T08:16:09+0000";"In just 5 classes, learn all the basics of Web Development and start your own Web Development Company or start creating websites for others.  We will cover the basics of HTML, CSS and JavaScript. Both Individual and Group Classes can be arranged. Next batch starts on Mid-February 2022  WhatsApp us on 0777446446 for more details.";"";"0";"0";"0";"0";"0";"0";"0";"0";"327158650971191_1849433518743689"
"SLRE777/327158650971191_1849433518743689/327158650971191_1849433518743689";"13308";"13208";"2";"327158650971191_1849433518743689";"empty";"";"fetched (200)";"2022-08-01 22:50:51.390921";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SLRE777/327158650971191_1849433518743689/327158650971191_1849433518743689";"13400";"13208";"2";"327158650971191_1849433518743689";"empty";"";"fetched (200)";"2022-08-01 22:51:59.074419";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SLRE777/327158650971191_1842945512725823";"13209";"12157";"1";"327158650971191_1842945512725823";"data";"data.*";"fetched (200)";"2022-08-01 22:48:16.280662";"Facebook:/<page-id>/posts";"327158650971191";"SkyLine Real Estate";"2022-01-31T10:24:15+0000";"2022-01-31T10:24:15+0000";"We are a software company located in Colombo 05, looking for a suitable qualified candidate for the position of QA Engineer.  Required Skills - Degree in Computer Science - At-least 1 year of work experience as a QA Engineer - Excellent command of English Language - Capable of drafting, executing and maintaining test cases of Web, Mobile app or any other systems - Better understanding of Agile  Other Special Skills - Excellent Teamworking - Flexible - Time Management - Pleasant Personality  Selected candidates can expect a positive working environment with leadership opportunities.  Please attach your latest CV's. Kindly note that applications without CV's will be rejected.  Atrium Technologies Ltd - www.atrium.lk | atrium.global";"1";"0";"0";"0";"0";"0";"0";"0";"0";"327158650971191_1842945512725823"
"SLRE777/327158650971191_1842945512725823/327158650971191_1842945512725823";"13309";"13209";"2";"327158650971191_1842945512725823";"empty";"";"fetched (200)";"2022-08-01 22:50:51.793643";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SLRE777/327158650971191_1842945512725823/327158650971191_1842945512725823";"13401";"13209";"2";"327158650971191_1842945512725823";"empty";"";"fetched (200)";"2022-08-01 22:51:59.456202";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
