"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"blueoceansl";"12159";"None";"0";"blueoceansl";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5238014059587136";"14472";"12159";"1";"144005052321421_5238014059587136";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-29T07:06:50+0000";"2021-01-29T07:06:50+0000";"Peace, quiet, comfort and relaxation is what you can get at Blue Ocean's Luxury Apartments at No. 30, Hotel Road, Mount Lavinia.  #realestate #investment #mountlavinia";"1";"0";"8";"8";"0";"0";"0";"0";"0"
"blueoceansl/144005052321421_5238014059587136/144005052321421_5238014059587136";"39356";"14472";"2";"144005052321421_5238014059587136";"empty";"";"fetched (200)";"2022-08-05 15:23:37.823159";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5234846393237236";"14473";"12159";"1";"144005052321421_5234846393237236";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-28T03:46:20+0000";"2021-01-28T03:46:20+0000";"At No. 35, Ramakrishna Road, Colombo 05, experience living at the heart of Wellawatte with a diverse community in an exquisite location.  It’s time to start living the life you deserve at this luxurious condominium which includes amenities that you could enjoy after a hard day’s work.  Let us make your life easier!  #investment #realestate #colombo";"3";"0";"14";"13";"1";"0";"0";"0";"0"
"blueoceansl/144005052321421_5234846393237236/144005052321421_5234846393237236";"39357";"14473";"2";"144005052321421_5234846393237236";"empty";"";"fetched (200)";"2022-08-05 15:23:38.342191";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5231886473533228";"14474";"12159";"1";"144005052321421_5231886473533228";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-27T02:14:46+0000";"2021-01-27T02:14:46+0000";"Blue Ocean luxury apartments project at No 19, Barnes Avenue, Mount Lavinia situated in the heart of Mount Lavinia comprises uniquely designed modern, luxury apartments which adds value to life. The complex has 06 Residential Floors and 18 apartments with a unique appearance. Each apartment comprises two and three bedrooms, a spaciously furnished living room, pantry and dining room. The apartments are designed with modern architecture and interior amenities to suit the latest styles for a luxury living. 5 star Hotels, Restaurants, Renowned Schools such as the S' Thomas' College and top class supermarkets are within the walking distance from the building.";"1";"0";"6";"6";"0";"0";"0";"0";"0"
"blueoceansl/144005052321421_5231886473533228/144005052321421_5231886473533228";"39358";"14474";"2";"144005052321421_5231886473533228";"empty";"";"fetched (200)";"2022-08-05 15:23:38.850974";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5229485320440010";"14475";"12159";"1";"144005052321421_5229485320440010";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-26T03:47:55+0000";"2021-01-26T23:29:50+0000";"Luxury living at this glorified location!  Make this your dream home, a reality with the best of what modern architecture can offer for a modern lifestyle with great experiences right around the corner.  #RealEstate #investment #colombo";"1";"1";"14";"14";"0";"0";"0";"0";"0"
"blueoceansl/144005052321421_5229485320440010/144005052321421_5229485320440010";"39359";"14475";"2";"144005052321421_5229485320440010";"data";"data.*";"fetched (200)";"2022-08-05 15:23:39.362292";"Facebook:/<post-id>/comments";"";"";"2021-01-26T23:29:50+0000";"";"Hello my friends, I solemnly advice the newbies and those eager to make profits to get help and advice from Mrs Hendrick Jennifer when interested in trading binary and also get your accounts well managed, and be assured of your 100% profits and payout with over 90% accurate wins daily, for those interested to succeed feel free to contact her WhatsApp Number :+14243585896  Email: Hendrickjennifer550@gmail.com  Goodluck.";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5226812104040665";"14476";"12159";"1";"144005052321421_5226812104040665";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-25T04:23:00+0000";"2021-01-26T23:29:55+0000";"At Blue Ocean's Alfred House Gardens, delve in the luxury that provides an excellent connectivity & social infrastructure, making life absolutely comfortable for all residents in Colombo 03.  #realestate #Colombo #investment";"2";"1";"17";"16";"1";"0";"0";"0";"0"
"blueoceansl/144005052321421_5226812104040665/144005052321421_5226812104040665";"39360";"14476";"2";"144005052321421_5226812104040665";"data";"data.*";"fetched (200)";"2022-08-05 15:23:39.935145";"Facebook:/<post-id>/comments";"";"";"2021-01-26T23:29:55+0000";"";"Hello my friends, I solemnly advice the newbies and those eager to make profits to get help and advice from Mrs Hendrick Jennifer when interested in trading binary and also get your accounts well managed, and be assured of your 100% profits and payout with over 90% accurate wins daily, for those interested to succeed feel free to contact her WhatsApp Number :+14243585896  Email: Hendrickjennifer550@gmail.com  Goodluck.";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5218516414870234";"14477";"12159";"1";"144005052321421_5218516414870234";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-22T05:54:41+0000";"2021-01-22T05:54:41+0000";"We are happy to announce that we have now commenced the piling at Glenfall, Nuwara-Eliya.  Call us on 0777546546 for your dream holiday home at an unbelievable location!";"3";"0";"12";"11";"1";"0";"0";"0";"0"
"blueoceansl/144005052321421_5218516414870234/144005052321421_5218516414870234";"39361";"14477";"2";"144005052321421_5218516414870234";"empty";"";"fetched (200)";"2022-08-05 15:23:40.386632";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5218492628205946";"14478";"12159";"1";"144005052321421_5218492628205946";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-22T05:40:10+0000";"2021-01-26T23:30:06+0000";"With a glorious view of the city, this luxury apartment is situated at the epitome of luxury living in Colombo 03, where you can have easy access to many incredible places to suit your lifestyle.";"";"1";"6";"6";"0";"0";"0";"0";"0"
"blueoceansl/144005052321421_5218492628205946/144005052321421_5218492628205946";"39362";"14478";"2";"144005052321421_5218492628205946";"data";"data.*";"fetched (200)";"2022-08-05 15:23:40.900443";"Facebook:/<post-id>/comments";"";"";"2021-01-26T23:30:06+0000";"";"Hello my friends, I solemnly advice the newbies and those eager to make profits to get help and advice from Mrs Hendrick Jennifer when interested in trading binary and also get your accounts well managed, and be assured of your 100% profits and payout with over 90% accurate wins daily, for those interested to succeed feel free to contact her WhatsApp Number :+14243585896  Email: Hendrickjennifer550@gmail.com  Goodluck.";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5213044058750803";"14479";"12159";"1";"144005052321421_5213044058750803";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-20T04:11:41+0000";"2021-01-26T23:30:11+0000";"Indulge in the beauty of nature, own a holiday property in Nuwara Eliya also known as the “Little England”.";"2";"1";"17";"17";"0";"0";"0";"0";"0"
"blueoceansl/144005052321421_5213044058750803/144005052321421_5213044058750803";"39363";"14479";"2";"144005052321421_5213044058750803";"data";"data.*";"fetched (200)";"2022-08-05 15:23:41.511819";"Facebook:/<post-id>/comments";"";"";"2021-01-26T23:30:11+0000";"";"Hello my friends, I solemnly advice the newbies and those eager to make profits to get help and advice from Mrs Hendrick Jennifer when interested in trading binary and also get your accounts well managed, and be assured of your 100% profits and payout with over 90% accurate wins daily, for those interested to succeed feel free to contact her WhatsApp Number :+14243585896  Email: Hendrickjennifer550@gmail.com  Goodluck.";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5210503832338159";"14480";"12159";"1";"144005052321421_5210503832338159";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-19T04:15:48+0000";"2021-01-26T23:30:20+0000";"Incredibly Living, Incredible Identity at No 8, Jayasinghe Road, Colombo 05.";"1";"3";"16";"16";"0";"0";"0";"0";"0"
"blueoceansl/144005052321421_5210503832338159/144005052321421_5210503832338159";"39364";"14480";"2";"144005052321421_5210503832338159";"data";"data.*";"fetched (200)";"2022-08-05 15:23:42.120592";"Facebook:/<post-id>/comments";"";"";"2021-01-19T07:00:44+0000";"";"Hi I'm Mrs S Perera won't to know 2bedroom Apt price please";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5210503832338159/144005052321421_5210503832338159";"39365";"14480";"2";"144005052321421_5210503832338159";"data";"data.*";"fetched (200)";"2022-08-05 15:23:42.120592";"Facebook:/<post-id>/comments";"";"";"2021-01-26T23:30:20+0000";"";"Hello my friends, I solemnly advice the newbies and those eager to make profits to get help and advice from Mrs Hendrick Jennifer when interested in trading binary and also get your accounts well managed, and be assured of your 100% profits and payout with over 90% accurate wins daily, for those interested to succeed feel free to contact her WhatsApp Number :+14243585896  Email: Hendrickjennifer550@gmail.com  Goodluck.";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5208110285910847";"14481";"12159";"1";"144005052321421_5208110285910847";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-18T07:37:34+0000";"2021-01-26T23:30:24+0000";"Splendor at Park Circus, Colombo 05.";"4";"3";"12";"12";"0";"0";"0";"0";"0"
"blueoceansl/144005052321421_5208110285910847/144005052321421_5208110285910847";"39366";"14481";"2";"144005052321421_5208110285910847";"data";"data.*";"fetched (200)";"2022-08-05 15:23:42.699751";"Facebook:/<post-id>/comments";"";"";"2021-01-18T10:21:44+0000";"";"Hi I'm Mrs S Perera won't to know how much 2bedroom Apt and what is garenty payment cundishen all";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5208110285910847/144005052321421_5208110285910847";"39367";"14481";"2";"144005052321421_5208110285910847";"data";"data.*";"fetched (200)";"2022-08-05 15:23:42.699751";"Facebook:/<post-id>/comments";"";"";"2021-01-26T23:30:24+0000";"";"Hello my friends, I solemnly advice the newbies and those eager to make profits to get help and advice from Mrs Hendrick Jennifer when interested in trading binary and also get your accounts well managed, and be assured of your 100% profits and payout with over 90% accurate wins daily, for those interested to succeed feel free to contact her WhatsApp Number :+14243585896  Email: Hendrickjennifer550@gmail.com  Goodluck.";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5202528266469049";"14482";"12159";"1";"144005052321421_5202528266469049";"data";"data.*";"fetched (200)";"2022-08-05 14:51:07.703783";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-01-16T06:04:02+0000";"2021-01-16T06:04:02+0000";"It is our pleasure to note that our member company, Link Readymix trucks are in line up along in the Hotel Road, pouring the readymix at No. 30, Hotel Road Mount Lavinia today.  For more details +94 777 546 546 | www.blueocean.lk";"4";"0";"15";"15";"0";"0";"0";"0";"0"
"blueoceansl/144005052321421_5202528266469049/144005052321421_5202528266469049";"39368";"14482";"2";"144005052321421_5202528266469049";"empty";"";"fetched (200)";"2022-08-05 15:23:43.562654";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
