post_id,company,created_time,updated_time,message,shares_count,comments_count,reactions_count,like_count,love_count,haha_count,wow_count,sad_count,angry_count
2129348240518255_3692799630839767,HousesLandsLk,2021-01-25T07:50:25+0000,2022-02-19T11:47:33+0000,SUPER LUXURY HOUSE PELAWATTA COLOMBO SRI LANKA  FOR SALE  HOUSES&LAND.LK  Email Address housesandlandlk1@gmail.com  Bedrooms - 07 ( A/C)  Bathrooms - 08   (All bed rooms consists of attached bathrooms & balconies.   - One room has access to differently abled with a built in pantry)  Land Extent - 30 Perches Floor area - 9000 Sq Ft  - Maid's quarters - Floors in tiles & Parquet ( Teak & American OAK) - Landscaped Garden - Solar power ( Electricity & Water) - 50Ft swimming pool - Separate access for differently abled ( Access to house & pool) - Driver's quarters  - Back up generator - Elevator  - All doors & windows are done out of Jack wood - Fully fitted pantry with granite top & a kitchen island (Hafele_)  - Wet kitchen separate for bar - Teak Bar counter - Separate sitting area which opens up to the garden - Luxury bathroom fittings - Gabled ceilings - Roller shutter  - Parking for 08 vehicles inside the premises  - CCTV camera and security system  * Price Upon Request *  More Details Call Us +94752264558  #superluxury #House #pelawatta  #Colombo #Srilanka #bestplace  #bestprice #realestateinvesting  #luxuryliving #home #investinyourself  #bestpropertiesinsrilanka  #housesandlandlk,18,32,85,73,12,0,0,0,0
2129348240518255_3718264964959900,HousesLandsLk,2021-02-03T21:21:02+0000,2021-02-03T21:21:02+0000,Happy Independence Day____  #Independence  #Day #2021  #srilanka____ ______ #Housesandlandlk,,0,7,6,1,0,0,0,0
2129348240518255_3714174442035619,HousesLandsLk,2021-02-02T06:47:14+0000,2021-02-07T18:41:12+0000,LUXURY HOUSE FOR SALE NUGEGODA COLOMBO SRI LANKA  HOUSES &LAND.LK  Higly Residential Location  Nugegoda Good Investment Property  For Good Price  37 Perches  12000+ Square feet 20 feet Access Road  10 Bedrooms With ( A/C ) 06 Bathrooms  02 Large Living Areas 02 Kitchen maid rooms Pantry with classic style Furnitures  TV Lobby Area Roof top  Security Rooms  10+ Vehicles can park inside  Much More Details Contact Us  Email Address housesandlandlk1@gmail.com __+94752264558  * Price 170M ( Nego ) *  After Inspection Good Offers Welcome  #Superluxury #houseforsale #colombo  #nugegoda #srilanka #bestplace  #bestprice #investmentproperty #luxuryliving #Home #Businessman  #investor #realestate #investing  #dontmissout #opportunity  #bestpropertiesinsrilanka  #housesandlandlk,12,5,81,74,5,0,2,0,0
2129348240518255_3790717884381274,HousesLandsLk,2021-03-01T17:37:57+0000,2022-04-22T11:03:04+0000,"HOUSE FOR SALE  DEHIWALA COLOMBO SRI LANKA  HOUSES&LAND.LK  Livable Renovated House for Good Price Kalubowila off Anderson Road Land extent 20Perches  3200sqft House  4 Bedrooms 4 Bathrooms 1 Living Area 1 Kitchen  1 maid room Garden space Car parking Space  Road Frontage 50Ft  Level - Same as road  International schools, leading supermarkets, public hospital and many other located in the close proximity for your convenience  Well respected and residential Neighborhood Great Opportunity for investment Good Offer Welcome After inspection  More details call Us +94752264558  Email Address housesandlandlk1@gmail.com  Bank Loans facilities Available _ If you Need We arrange _  #Houseforsale #Dehiwala #Colombo  #SriLanka #property  #bestplace #bestprice #GoodForInvestment #investinyourself  #investor #RealEstate  #DontMissThisDeal  #bestproposal #opportunity  #housesandlandlk",26,36,66,64,2,0,0,0,0
2129348240518255_3959171287535932,HousesLandsLk,2021-04-29T05:30:27+0000,2021-06-08T11:44:53+0000,"COLOMBO 3 LUXURY HOUSE FOR SALE COLOMBO SRI LANKA  HOUSES&LAND.LK  Located in Palm Grove Colombo 03 Land Size 13.5perches residential property located off Duplication Road, Colombo 3, within easy access from Flower road, Unity Place, Green path.  A good range of reputed schools, leading hospitals, local supermarkets and popular restaurants are available within close proximity. And with many other recreational places right around the corner, such as sports grounds, cafes, clothing stores, Cinemas etc. (In the attachment you will find the location map)  This is a newly built luxury house with spacious living and bedrooms that consist of high quality fixtures and fittings. The amenities are as follows:  * 4 Master Bedrooms with Attached  Bathrooms * 3 Living Areas * Maids quarters and toilet * Luxury Pantry fittings and kitchen Pantry * Laundry and utility room. * Drivers quarters * Garden near the living and dinning room * Cctv System * 2 Car parking space  * Price Upon Request *  More Details Call Us +94752264558 Email Address housesandlandlk1@gmail.com  #Luxuryhouse #forsale #colombo3 #SriLanka #luxuryliving #unique #home  #colombo #lifestyle #living #house  #investment #property #propertyinvestment #investor #investing #Great #opportunity #dontmissout #dreamhome #dreamhomegoals #realestateinvestor  #bestpropertiesinsrilanka  #housesandlandlk",11,5,29,29,0,0,0,0,0
2129348240518255_3944646135655114,HousesLandsLk,2021-04-24T04:08:37+0000,2021-04-24T04:08:37+0000,"EMPEROR APARTMENT FOR SALE COLOMBO 3 SRI LANKA  HOUSES&LAND.LK  1650 Sqft  3 Bedroom Apartment facing the Cinnamon Grand hotel, partial sea view and Beira lake view is available for immediate sale at the Emperor, Galle Road, Colombo 3.  Property Details :  3 Bedrooms 2 bathrooms Dining & Living Pantry/kitchen Utility area Maid's room Maid's toilet  Facilities :  24/7 security 1 Parking slot BBQ Area Function Areas   Swimming pool Gymnasium  Price: LKR85M (Nego)  More Details Contact Us +94752264558 Email Address housesandlandlk1@gmail.com  #Luxury #apartment #ForSale #great #investment #opportunity #colombo #SriLanka #propertyinvestment #investor #investing #investinyourself  #luxuryliving #luxurylifestyle #luxuryhomes #living #family #bestplace #colombo3 #eyecatching #view #seaview #topfloor #dontmissout #bestpropertiesinsrilanka  #onlyoneplace  #housesandlandlk",7,1,25,22,2,1,0,0,0
2129348240518255_3936850679767993,HousesLandsLk,2021-04-21T11:14:47+0000,2021-04-21T11:14:47+0000,"SUPER LUXURY HOUSE FOR SALE  MALABE COLOMBO SRI LANKA  HOUSES&LAND.LK  HIGH RESIDENTIAL AREA  Malabe Slit For Just 200M  12.1 Perch  4800Sqft  * House Details *  * 6 Bedrooms ( A/C )   ( 1 master   bedrooms )   5 Bathrooms    2 Living Areas   Kitchen with Pantry   Dining Large Area   Maid Room & Bathroom   Office Room   Roller Shutter   3 Vehicle Parking Garage   Swimming Pool   Gym Room   Small Garden space   Cctv System  Easy Access malabe kaduwela Athurugiriya Highway entrance 1km Malabe 2.5km Athurugiriya 3km Slit distance 200m Horizon campus 900m  5 minute Drive to Cargills Food city, Keels Super, Supermarket, Government and International school, Hemas Hospital in malabe kaduwela and athurugiriya   Call For More Details __+94752264558 Email Address housesandlandlk1@gmail.com  * LKR 62million * ( Rs 620 Lakhs )  After Viewing good offers welcome  #superluxury #houseforsale #Malabe #colombo #SriLanka  #luxuryhouse #dreamhome #luxuryliving #luxurylifestyle #luxuryhomes #luxurylife #familyhome  #propertyinvestment #investor #investing #properties #realestate  #investment #property  #investinyourself #dontmissout  #bestprice #bestplace  #bestpropertiesinsrilanka  #onlyoneplace  #housesandlandlk",25,0,53,52,1,0,0,0,0
2129348240518255_3915229905263404,HousesLandsLk,2021-04-13T18:00:22+0000,2021-04-13T18:00:22+0000,"________ _____ __ ______ ________ __ ____ ___ _____ __________ ____ !!! ____ _____, ______ __________ ___________ !!! Wish Your Happy Sinhala & Tamil New Year !!!   #Housesandlandlk #srilanka #Avurudhu_ #SinhalaandTamilNewYear_ #NewYear_ #SinhalaNewYear_ #TamilNewYear_ #Lanka_ #HappyNewYear_ #AvurudhuCelebrations  #srilanka__________",1,0,8,8,0,0,0,0,0
2129348240518255_3887107248075670,HousesLandsLk,2021-04-04T06:01:51+0000,2022-07-18T11:01:08+0000,"LUXURY HOUSE @ PANNIPITYA COLOMBO SRI LANKA  HOUSES&LAND.LK  3 Storied House & office (with elevator), on Borella Road, Pannipitiya, For Sale  This impressive, brand new designer house is located in a prime 20.5 perch land , facing 20 feet wide road (dead-end with a turning circle).   8 Bedrooms  8 Bathrooms   Office building with a luxury elevator  * House size: 10,000.0 sqft (Approx. 12,000 with balconies and terraces)  This house has been specially and tadtefully designed as a complex, which can be used both together and separately as the main house in Ground floor, Master suite in the 1st Floor and as an apartment in the 2nd floor too.  The house is connected to 3 storeyed spacious Office building with a luxury elevator (Lift). Architecturally Vasthu complied. The property includes:  * 8 bedrooms (Master bedroom with walk-in closet)  * 7 bathrooms attached, 1 common (Master bath with Jacuzzi)  * 3 spacious living areas  * Luxury Elevator with access to each floor + house  * Large terrace  * Parking for 4 vehicles inside and 10+ can be parked outside.  * Spacious Roof top,  * Swimming pool covered by a large specially designed Vasthu Pyramid,  * Kitchen (to be customized)  * Dining on the poolside,  * Shrine room  * Tastefully landscaped garden,  * Large balconies,  * Patio Entrance  * Maid’s room  * Driver’s room  * Servants’ Bath  * Security Booth, that connects both the office and the residence  * 3 phase electricity  * 100ft Bed rock Tube well water, optional direct line.  * 16 CCTV Camara Channels  * Supermarkets : Cargills Super (Walking Distance-100meters)  * Schools : Louver International School (Walking Distance)  * Travel: Train Station (Walking Distance)  * Hospitals : Hemas Hospital (1km)  * 3 Mins to Thalawathugoda junction  * 5 mins to Parliament walk path  * 8 mins to Highway Interchange  Book your Appointment for inspection & More details Call Us +94752264558  Email Address housesandlandlk1@gmail.com  Price Upon Request  #Newlisting #BrandNewHouse #Superluxury #HouseforSale #Colombosrilanka____ #luxuryhouse #luxuryliving #colombolifestyle #uniquehouse #livingmybestlife #bestplace #bestprice  #property #investment #investors #realestate  #Bestpropertiesinsrilank #Housesandlandlk",26,15,73,66,7,0,0,0,0
2129348240518255_4218352164951175,HousesLandsLk,2021-07-29T08:14:06+0000,2021-07-29T13:08:01+0000,"PENTHOUSE IN HAVELOCK CITY COLOMBO 5 SRI LANKA  HOUSES&LAND.LK  A City within a City  Set in 18 acres with the 7 acres of rolling Greenery at Havelock City give you the unique chance to keep up a healthy outdoor lifestyle in the city. The only space of its kind in Colombo, keep fit in open-air exercise corners, or on the jogging and walking tracks.  Details of the Unit  Floor Area – 4,370 SqFt Floor Level – 21st Floor (City View and Sea View)  04 Bedroom 04 Bathroom Fully Furnished Servant quarter private balcony (more than 800 Sq Ft)  Common Amenities  Club House / Shopping Mall / Swimming Pool / Gym / Squash Courts Garden Area / Garden Chess / Children’s Play Area / Golf Putting Green / Walkaway  Price LKR 175M (Nego)  Book your appointment for inspection Call Us +94752264558 Email - housesandlandlk1@gmail.com  #luxuryapartmenthomes  #forsale  #colombo #SriLanka  #residentialproperty #apartment  #investmentproperty #house #property #dreamhomegoals #living #investinyourself #valueinvesting  #dontmissout #homegoals #luxurylife  #bestpropertiesinsrilanka  #housesandlandlk",4,1,73,69,3,0,1,0,0
